"id","relevance"
0,0
1,0
2,0
3,0
51,0
52,0
14,0
15,1
26,0
27,0
28,0
29,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
5172,0
5177,0
526,0
527,0
528,1
529,1
530,1
531,0
532,0
633,0
634,0
635,0
636,1
637,0
638,0
639,0
640,0
641,0
642,1
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,1
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,1
861,1
862,1
959,1
960,0
961,1
962,1
963,0
964,0
965,0
966,1
967,1
968,1
1069,0
1070,0
1071,0
1072,0
1073,0
11335,0
11336,0
11337,0
1174,0
1175,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
15100,0
15101,0
15102,1
1598,0
1599,0
16103,1
16149,0
16150,0
16151,0
16152,1
16153,1
16154,0
17104,0
17105,0
17106,0
17107,1
17108,1
18109,1
18110,1
18111,1
18112,1
18113,0
18114,1
18115,1
18116,1
19117,0
19118,1
19119,1
19120,1
19121,1
20121,1
20122,0
20123,0
20124,0
20125,1
20126,0
20127,1
20178,1
20179,1
21128,1
21129,1
21130,1
21131,1
21132,1
21133,1
21679,0
22134,0
22135,0
22136,1
22137,0
22138,1
23139,0
23140,1
23141,1
24142,1
24143,1
24144,1
24145,1
24146,1
24147,1
24148,1
25155,1
25156,1
25195,1
25196,1
25197,0
25198,1
25199,0
25200,1
25201,1
26157,0
26158,0
26159,0
26160,0
26161,0
26162,0
26163,0
27164,1
27165,0
27166,1
27167,1
27168,1
27169,1
27170,1
27171,1
28172,1
28173,1
28174,1
28175,1
28176,1
2828,1
2837,1
2841,1
29180,1
29181,1
29182,0
29183,0
29184,1
29185,0
29186,1
29187,1
29188,0
30184,1
30187,1
30188,1
30189,0
30190,0
30191,1
30192,1
30193,1
30194,1
31202,0
31203,0
31204,0
31251,0
31252,0
31253,0
31254,0
32205,0
32206,0
32207,0
32208,0
33209,0
33210,0
33211,1
33212,0
33213,0
34214,0
34215,0
34216,0
34217,0
34218,0
34219,0
35220,0
35221,1
36222,0
36223,1
36224,0
36225,1
36226,0
36227,0
36282,1
36283,1
36284,1
37228,0
37229,0
38230,0
38231,1
38232,1
38233,1
38234,0
38235,1
38236,1
39237,0
39238,0
39239,1
39240,1
39241,1
39242,0
40243,0
40244,0
40245,0
40246,1
40247,0
40248,1
40249,1
40250,1
41255,0
41300,0
41301,0
41302,1
41303,0
41304,0
41305,0
41306,0
41307,1
41308,0
42256,0
42257,0
42258,0
42259,1
43260,0
43261,0
44262,1
44263,1
44264,1
45265,1
45266,1
45267,0
45268,1
45269,1
45270,1
45271,1
46272,1
46273,1
46274,1
46275,1
46276,1
46277,1
46278,1
46279,1
471372,0
471373,0
471374,0
471375,0
471376,0
471377,1
471378,0
47280,0
47281,1
48285,0
48286,0
48287,0
48288,0
48289,0
48290,0
48291,1
48292,1
49293,0
49294,1
49295,1
49296,0
49297,1
49298,1
49299,1
50309,1
50310,1
50311,1
50312,1
50313,1
50314,1
50315,1
50316,1
50317,1
50318,1
51318,1
51319,1
52320,0
52321,1
52322,1
52323,1
52324,1
52325,1
52326,1
52327,1
52328,1
53329,0
53330,1
53331,0
53332,1
53333,1
53334,1
54338,1
54339,1
54340,1
54341,1
54342,1
54343,1
54344,1
54345,1
55317,1
55346,1
55347,1
55348,1
55349,1
55350,1
55351,1
55352,1
55353,1
56309,1
56315,1
56318,1
56354,1
56355,0
56356,0
56357,1
57329,1
57330,0
57331,1
57332,1
57333,1
57334,1
58315,1
58318,1
58358,1
58359,1
58360,0
58361,1
58362,1
58363,0
58364,1
59365,1
59366,1
59367,0
59368,1
59369,1
59370,1
59371,1
60372,0
60373,0
60374,0
60375,0
61376,0
61377,1
61378,1
61379,1
62380,0
62381,0
62382,0
62383,1
62384,1
62385,1
62386,1
63387,1
63388,1
63389,1
63390,1
63391,1
63392,1
63393,1
63394,1
63395,1
64396,1
64397,1
64398,1
64399,1
64400,1
64401,1
64402,1
64403,1
65404,1
65405,1
65406,1
